period,duration,depth,planet_radius,stellar_temperature,stellar_gravity,stellar_radius,magnitude,snr,equilibrium_temp,disposition
18.11993039,4.2309,1506.9,2.95,5196,4.593,0.775,15.532,60.7,563,1
3.78402867,1.9012,426.1,1.7,5196,4.593,0.775,15.532,25.6,949,1
5.15448142,3.228,697.5,2.94,5431,4.457,0.884,15.365,48.1,964,1
33.80364366,11.4813,13494,20.7,5855,3.999,1.796,13.109,529.9,745,0
5.743469797,3.4412,1240.2,3.13,5897,4.531,0.891,15.543,79.7,982,1
39.4759093,2.968,1012.6,4.06,6225,4.45,1.031,15.229,26.6,577,2
19.97448524,4.23479,40293,26.56,6108,4.471,0.997,15.217,1398.8,700,0
3.166353562,3.3129,1473.4,3.82,6007,4.47,0.998,15.603,128.3,1273,1
23.89963441,3.81881,20953,44.04,6192,4.503,0.924,15.453,547.8,652,0
3.388012244,2.6849,280.1,2.11,5553,4.221,1.25,15.065,30.6,1315,1
5.83909761,3.1915,273.6,2.06,5553,4.221,1.25,15.065,25.2,1097,1
1.620467654,2.1888,159.6,1.57,5553,4.221,1.25,15.065,22.7,1681,1
10.6816951,3.605,307.8,2.3,5553,4.221,1.25,15.065,21.9,897,1
6.104849417,4.6912,2090.3,3.18,5085,4.584,0.712,15.017,293.7,784,1
3.578780566,2.91089,11382,10.43,5524,4.421,0.994,13.938,1838.4,1145,1
3.187067566,3.119,1037.4,23.88,5450,4.552,0.811,15.653,37.2,1079,0
5.826657508,2.9183,1539.1,4.09,5561,4.362,1.06,15.843,81.1,1013,1
12.41216347,3.739,611.3,2.58,5561,4.362,1.06,15.843,25.6,787,1
18.74649011,3.895,796.8,3.05,5561,4.362,1.06,15.843,26.7,686,1
20.86021229,5.1937,1910.5,5.5,6035,4.22,1.257,15.237,117,781,1
42.63427848,6.1998,1719.3,5.22,6035,4.22,1.257,15.237,78.7,615,1
87.6476068,8.871,1009.6,4,6035,4.22,1.257,15.237,37.5,484,1
9.61731426,3.8692,234,1.94,6035,4.22,1.257,15.237,18.2,1010,2
9.467821474,2.4327,2237,2.13,3582,4.807,0.458,15.073,124.7,407,1
0.893040969,1.0981,741.7,1.24,3582,4.807,0.458,15.073,87.8,893,1
4.942783419,3.25346,11145,10.62,5514,4.459,0.978,13.758,2040.7,1008,1
20.83426731,4.0454,988.4,2.74,5537,4.549,0.88,15.412,45.1,595,1
9.94602357,3.3862,994.5,3.12,5344,4.365,1.013,15.596,51,807,1
1.04562195,1.8955,213,1.45,5344,4.365,1.013,15.596,25.3,1710,1
5.71462396,2.336,297.8,1.78,5344,4.365,1.013,15.596,16.7,971,1
102.9641952,15.735,1896.7,39,5047,3.066,7.119,13.608,86.1,797,0
8.14515981,5.073,446.8,3.43,5896,4.197,1.24,14.925,32.2,1050,1
18.9985279,4.529,430.7,43.17,5896,4.197,1.24,14.925,16.9,792,1
4.24439049,3.282,174,2.07,5896,4.197,1.24,14.925,15.1,1305,1
90.1240507,11.649,3020.3,7.12,6520,4.375,1.215,14.96,57.9,485,2
28.5742692,4.9427,824.9,2.32,5551,4.508,0.812,13.771,97.1,538,1
856.672115,23.144,858.1,3.87,6449,4.232,1.309,13.997,39.2,242,2
0.689210173,1.6169,195,1.32,5630,4.505,0.954,13.248,93.4,1943,2
7.34373964,1.1784,574.4,1.84,5757,4.597,0.762,14.657,32.2,839,1
0.445277068,3.539,186.7,35.74,6167,4.444,1.064,15.343,28.9,2562,0
