koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_model_snr,koi_teq
1,4.14810719,2.535,1.7520e+02,1.08,5029,4.494,0.838,15.46,12.9,938
1,16.51410989,4.1575,9.7350e+02,2.72,5527,4.488,0.866,15.223,55.9,655
1,30.1329298,5.172,1.0158e+03,3.14,5527,4.488,0.866,15.223,44.8,536
1,4.79090809,2.603,2.5130e+02,1.36,5527,4.488,0.866,15.223,21.2,990
1,31.71981013,4.819,3.6340e+02,3.09,5869,4.024,1.626,12.935,63.1,743
1,99.6415962,4.448,9.5250e+02,2.64,5527,4.488,0.866,15.223,22.7,360
1,4.708326451,3.16114,7.9127e+03,10.6,5560,4.246,1.21,15.113,633.4,1162
0,16.37198661,3.8449,4.1476e+03,540.37,4187,4.656,0.592,15.654,54.5,438
1,5.392026903,2.9804,1.1514e+03,2.68,5198,4.589,0.801,15.651,77.4,850
2,2.494170338,1.1221,8.6370e+02,2.42,5569,4.566,0.829,15.251,69.2,1194
1,6.491682808,4.301,7.1633e+03,9.66,6123,4.413,1.107,15.649,502.3,1062
0,3.044770796,10.0134,1.6950e+03,24.54,5525,4.603,0.753,15.621,203.5,1076
1,3.855603916,3.2179,1.6653e+04,13.61,6033,4.46,1.046,15.272,1173.9,1212
0,3.855599139,3.183,1.0309e+03,3.57,5936,4.501,0.965,15.054,90.1,1158
1,38.47876629,5.04169,2.3530e+04,13.26,5510,4.539,0.879,13.779,1077.8,484
0,37.60166128,8.30604,5.9130e+04,27.22,6140,4.354,1.096,15.505,1667.3,606
1,3.314947362,1.8007,1.3982e+03,3.94,5609,4.481,0.944,15.142,123.5,1155
0,6.71969089,3.0231,9.6970e+02,4.37,5931,4.479,0.866,15.172,45.4,952
1,39.6431552,6.5292,1.5664e+04,10.98,5231,4.455,0.9,15.011,690.3,472
0,51.42598578,16.9422,6.6068e+04,29.66,6257,4.41,1.147,15.631,1843.8,549
1,21.80451611,3.4097,1.1449e+03,2.6,5481,4.629,0.708,15.067,49.9,543
1,10.28194593,3.4366,1.1107e+03,2.53,5196,4.593,0.775,15.532,55,680
1,18.11993039,4.2309,1.5069e+03,2.95,5196,4.593,0.775,15.532,60.7,563
1,3.78402867,1.9012,4.2610e+02,1.7,5196,4.593,0.775,15.532,25.6,949
1,5.15448142,3.228,6.9750e+02,2.94,5431,4.457,0.884,15.365,48.1,964
0,33.80364366,11.4813,1.3494e+04,20.7,5855,3.999,1.796,13.109,529.9,745
1,5.743469797,3.4412,1.2402e+03,3.13,5897,4.531,0.891,15.543,79.7,982
2,39.4759093,2.968,1.0126e+03,4.06,6225,4.45,1.031,15.229,26.6,577
0,19.97448524,4.23479,4.0293e+04,26.56,6108,4.471,0.997,15.217,1398.8,700
1,3.166353562,3.3129,1.4734e+03,3.82,6007,4.47,0.998,15.603,128.3,1273
0,23.89963441,3.81881,2.0953e+04,44.04,6192,4.503,0.924,15.453,547.8,652
1,3.388012244,2.6849,2.8010e+02,2.11,5553,4.221,1.25,15.065,30.6,1315
1,5.83909761,3.1915,2.7360e+02,2.06,5553,4.221,1.25,15.065,25.2,1097
1,1.620467654,2.1888,1.5960e+02,1.57,5553,4.221,1.25,15.065,22.7,1681
1,10.6816951,3.605,3.0780e+02,2.3,5553,4.221,1.25,15.065,21.9,897
1,6.104849417,4.6912,2.0903e+03,3.18,5085,4.584,0.712,15.017,293.7,784
1,3.578780566,2.91089,1.1382e+04,10.43,5524,4.421,0.994,13.938,1838.4,1145
0,3.187067566,3.119,1.0374e+03,23.88,5450,4.552,0.811,15.653,37.2,1079
