tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_tmag,st_teff,st_logg,st_rad,pl_eqt
2,2.3202418,2.3817612,5082.941706,,7.9172,8737.5,,,3115.380123
1,4.7423709,2.4988145,12650.81104,10.5505922,13.0417,5377,4.42476,0.877585,970.6340996
1,1.4810903,4.1588291,6788.514539,20.3402421,7.58204,9435,4.11,2.28773,3446.021057
1,3.4741012,3.317,15748,21.2912,7.55216,8894.8,4.38,1.62,2084.333087
0,6.5011911,5.5463587,4501.345406,,8.0348,5485,,,976.5873888
2,6.0360758,1.255,987,9.86763,8.40534,6528.3,4.21,1.69,1293
2,21.745537,4.196,659,2.10208,9.3188,5704,4.51,0.93,642
0,1.32003,3.175,552.468,,9.711,,,,
0,1.6865822,2.429,1770,,9.7032,,,,
0,13.0727479,3.044,4080,35.7944,9.6043,5709.8,3.37,3.59,1074
0,2.9258727,4.075,6720,24.4055,9.5967,4884.5,,1.3,2066
0,0.73774,0.636,524.852,5.28215,9.5937,6449.5,3.94,2.1,
1,2.7985802,2.3801043,16708.7152,11.9514993,11.0443,4920,4.49371,0.906655,1089.145817
0,2.3664127,2.591,300,,9.577,,,,
1,1.7635881,3.092,6650,,10.2306,7986.1,,,2608
2,7.3166682,3.255,3210,,9.65306,8730,,,1647
2,3.0771612,2.6914319,4703.284435,,9.47751,9311.3,,,1827.644575
0,3.2077145,2.708,9640,,9.329701,,,,
1,2.2552845,2.05,20820,14.688,9.76703,5787,4.5,0.96,1348
0,1.8824539,2.46,1391,8.29008,9.7604,5900.4,4.39,1.13,3091
0,15.196,1.792,1970,4.96345,10.3874,5807,,1.14,
0,2.1358631,1.559,10325,23.6019,10.381,5969,4.17,1.5,1745
2,6.7075429,2.125,11920,17.4647,10.6405,6134.3,,1.24,1079
1,3.5862962,3.3710943,5729.324686,16.4747611,11.7806,5704.8,3.84,2.00441,1658.39152
0,1.8296155,2.166,1406,29.3616,10.349,7875,3.61,3.5,3751
0,11.1876137,3.183,4924,31.8624,10.3075,7266,4.06,2.05,1499
0,7.8513949,6.835,22029,,10.3018,,,,
1,7.0643978,2.424,8268,9.39131,10.2938,5429.6,4.44,0.96,890
1,8.9534775,2.696,1136,2.35888,10.2549,5029.5,4.61,0.76,723
0,7.5022708,2.605,1760,5.55812,10.2026,6229,4.31,1.27,940
2,14.0077666,5.8727493,5924.834967,12.4023108,10.1772,6557.7,4.18,1.57435,1028.532029
0,1.692892,2.886,1418,11.2371,10.1617,9121.5,4.21,2.1,5800
0,2.6652007,3.49,819,2.35964,10.1358,4043.4,4.69,0.56,2045
2,1.2615323,1.039,2841,8.67407,10.1313,4927.9,4.57,0.78,1715
1,6.0344667,1.89,1800,4.44029,9.179,5586,4.36763,1.05,788
1,9.6867516,2.512,1669,3.00336,10.112,4738.1,4.59,0.73,707
1,2.1031647,5.059,7142,16.7087,10.079,6122,3.93,1.93,3037
0,7.6416041,2.654,6025,27.538,10.0049,6496.7,,2.05,1303
0,5.9294088,2.933,10226,10.8101,9.9478,5095.6,,1.06,
1,5.7484439,1.76,1041,2.35215,9.9469,4534,4.61,0.69,820
0,1.1967018,1.879,824,10.3239,9.94025,5997,4,1.73,3534
0,11.2464616,7.391,7576,17.6677,9.92402,6115.7,3.89,2.01,1218
2,2.5941968,0.861,907,4.47229,9.9002,6389,4.26,1.4,1159
0,8.5112,3.486,4172.76,,9.886581,8156,4.35,,
2,3.9687994,1.07,1760,,9.8744,5286.9,,,
2,5.5411114,2.467,633,2.04482,9.2789,5332,4.56429,0.82,1117
2,10.6917268,3.002,535,1.79811,9.2789,5332,4.56429,0.82,710
2,3.6950015,4.515,7655,14.1288,9.80529,7106.7,4.2,1.63,1904
0,15.7335693,3.288,2540,24.3218,9.7831,6800,3.91,2.21,1219
2,45.9403293,3.768,14807,28.3312,10.4999,6479.3,,1.28,
0,2.2219839,1.996,4394,15.4416,10.4813,7166.8,,1.87,
1,2.3106428,1.294,6911,8.76741,10.4782,5339.9,4.41,0.99,1052
0,4.05135,2.4,1132.23,14.2359,10.4717,4974.4,,3.85,
2,5.5376617,2.517,5390,15.6557,10.4318,6689,3.96,2.06,1206
2,4.5960377,4.744,5000,16.2166,10.4247,7649,4.04,2.12,1937
1,3.612771,4.142,11794,19.3662,10.4219,8324,4.28,1.71,2344
1,3.6714717,2.149,4340,10.678,10.4221,5618,4.06,1.54,1182
1,11.535076,8.555958,2389.90616,12.215808,7.1062,5479.3,3.77,2.48771,
0,0.8352406,1.043,2065,6.4875,10.402,6105,4.31,1.24,2345
1,2.4919771,1.4338141,2093.95942,2.2187585,10.9473,3948,4.68962,0.482388,639.9817426
0,,2.726775,878.134108,1.710706,8.386,3773,4.438,0.577983,448.0162269
